Model,Organization,Publication date,Confidence,Country,Confidence_level
Claude Sonnet 4.5,Anthropic,2025-09-29,Unknown,United States of America,0
Gemini Robotics-ER 1.5,Google DeepMind,2025-09-25,Unknown,United States of America,0
Qwen3-Omni-30B-A3B,Alibaba,2025-09-22,Confident,China,5
AgentFounder-30B,Alibaba,2025-09-16,Confident,China,5
Qwen3-Max,Alibaba,2025-09-05,Speculative,China,3
LongCat-Flash,Meituan Inc,2025-09-01,Likely,China,4
Gemini 2.5 Flash Image (Nano Banana),Google,2025-08-26,Unknown,United States of America,0
GPT-5 nano,OpenAI,2025-08-07,Unknown,United States of America,0
GPT-5 mini,OpenAI,2025-08-07,Unknown,United States of America,0
GPT-5,OpenAI,2025-08-07,Speculative,United States of America,3
gpt-oss-120b,OpenAI,2025-08-05,Confident,United States of America,5
gpt-oss-20b,OpenAI,2025-08-05,Confident,United States of America,5
GLM-4.5,"Z.ai (Zhipu AI),Tsinghua University",2025-08-05,Confident,Group of Countries,5
Claude Opus 4.1,Anthropic,2025-08-05,Unknown,United States of America,0
Qwen Image,Alibaba,2025-08-04,Confident,China,5
Hierarchical Reasoning Model (HPM),Sapient Intelligence,2025-08-04,Confident,Singapore,5
MindLink-72B,Kunlun Inc.,2025-08-01,Confident,China,5
Gemini 2.5 Deep Think,"Google,Google DeepMind",2025-08-01,Unknown,Group of Countries,0
Qwen3-235B-A22B-Thinking (Jul 2025),Alibaba,2025-07-25,Likely,China,4
Qwen3-235B-A22B (Jul 2025),Alibaba,2025-07-25,Likely,China,4
Qwen3-Coder-480B-A35B,Alibaba,2025-07-22,Confident,China,5
EXAONE 4.0 (32B),LG AI Research,2025-07-15,Confident,Korea (Republic of),5
Gemini Embedding,Google DeepMind,2025-07-14,Unknown,United States of America,0
Kimi K2,Moonshot,2025-07-11,Confident,China,5
Grok 4 Heavy,xAI,2025-07-10,Unknown,United States of America,0
Grok 4,xAI,2025-07-09,Speculative,United States of America,3
EXAONE Path 2.0,LG AI Research,2025-07-09,Confident,Korea (Republic of),5
FGN,Google DeepMind,2025-06-12,Confident,United States of America,5
Seed-1.6-Thinking,ByteDance,2025-06-11,Confident,China,5
Qwen3 Embedding,Alibaba,2025-06-05,Confident,China,5
Gemini 2.5 Pro (Jun 2025),Google DeepMind,2025-06-05,Unknown,United States of America,0
DeepSeek-R1 (May 2025),DeepSeek,2025-05-28,Confident,China,5
Claude Sonnet 4,Anthropic,2025-05-22,Unknown,United States of America,0
Claude Opus 4,Anthropic,2025-05-22,Unknown,United States of America,0
Veo 3,Google DeepMind,2025-05-21,Unknown,United States of America,0
Imagen 4,Google,2025-05-20,Unknown,United States of America,0
Seed1.5-VL,ByteDance,2025-05-11,Confident,China,5
Gemini 2.5 Pro (May 2025),Google DeepMind,2025-05-06,Unknown,United States of America,0
Qwen3-235B-A22B,Alibaba,2025-04-29,Likely,China,4
gpt-image-1,OpenAI,2025-04-23,Unknown,United States of America,0
Pangu Ultra,Huawei,2025-04-10,Confident,China,5
Llama 4 Scout,Meta AI,2025-04-05,Likely,United States of America,4
Llama 4 Maverick,Meta AI,2025-04-05,Likely,United States of America,4
Llama 4 Behemoth (preview),Meta AI,2025-04-05,Likely,United States of America,4
GPT-4o (Mar 2025),OpenAI,2025-03-27,Speculative,United States of America,3
Gemini 2.5 Pro (Mar 2025),Google DeepMind,2025-03-25,Unknown,United States of America,0
DeepSeek-V3 (Mar 2025),DeepSeek,2025-03-24,Confident,China,5
Diffusion Renderer,"NVIDIA,University of Toronto,Vector Institute,University of Illinois Urbana-Champaign (UIUC)",2025-03-22,Confident,Group of Countries,5
o1-pro,OpenAI,2025-03-19,Likely,United States of America,4
EXAONE Deep 32B,LG AI Research,2025-03-16,Confident,Korea (Republic of),5
ERNIE-4.5-VL-424B-A47B (文心大模型4.5),Baidu,2025-03-16,Confident,China,5
Hunyuan-TurboS,Tencent,2025-03-11,Confident,China,5
QwQ-32B,Alibaba,2025-03-06,Speculative,China,3
Mistral OCR,Mistral AI,2025-03-06,Unknown,France,0
Mercury,Inception Labs,2025-02-27,Unknown,United States of America,0
GPT-4.5,OpenAI,2025-02-27,Likely,United States of America,4
Claude 3.7 Sonnet,Anthropic,2025-02-24,Likely,United States of America,4
Grok 3,xAI,2025-02-17,Likely,United States of America,4
Eurus-2-7B-PRIME,"Tsinghua University,University of Illinois Urbana-Champaign (UIUC),Shanghai AI Lab,Peking University,Shanghai Jiao Tong University,CUHK Shenzhen Research Institute",2025-02-03,Speculative,Group of Countries,3
o3-mini,OpenAI,2025-01-31,Unknown,United States of America,0
GPT-4o (Jan 2025),OpenAI,2025-01-29,Speculative,United States of America,3
Computer-Using Agent (CUA),OpenAI,2025-01-23,Unknown,United States of America,0
Kimi k1.5,Moonshot,2025-01-22,Unknown,China,0
Doubao-1.5-pro,ByteDance,2025-01-22,Confident,China,5
Eagle 2,"NVIDIA,Nanjing University,Tsinghua University,Hong Kong Polytechnic University,Johns Hopkins University,New York University (NYU)",2025-01-20,Confident,Group of Countries,5
DeepSeek-R1,DeepSeek,2025-01-20,Confident,China,5
INTELLECT-MATH,Prime Intellect,2025-01-17,Confident,United States of America,5
Stable Point Aware 3D (SPAR3D),"Stability AI,University of Illinois Urbana-Champaign (UIUC)",2025-01-08,Unknown,Group of Countries,0
STORM-B/8,"University of Southern California,Georgia Institute of Technology,Stanford University,NVIDIA",2024-12-31,Confident,Group of Countries,5
DeepSeek-V3,DeepSeek,2024-12-24,Confident,China,5
o3,OpenAI,2024-12-20,Unknown,United States of America,0
Veo 2,Google DeepMind,2024-12-16,Unknown,United States of America,0
Apollo 7B,"Meta AI,Stanford University",2024-12-13,Confident,Group of Countries,5
Gemini 2.0 Pro,Google DeepMind,2024-12-11,Unknown,United States of America,0
Sora Turbo,OpenAI,2024-12-09,Unknown,United States of America,0
EXAONE 3.5 32B,LG AI Research,2024-12-09,Confident,Korea (Republic of),5
Llama 3.3 70B,Meta AI,2024-12-06,Confident,United States of America,5
o1,OpenAI,2024-12-05,Unknown,United States of America,0
NVILA 15B,"NVIDIA,Massachusetts Institute of Technology (MIT),University of California (UC) Berkeley,University of California San Diego,University of Washington,Tsinghua University",2024-12-05,Confident,Group of Countries,5
Infinity,ByteDance,2024-12-05,Confident,China,5
Amazon Nova Pro,Amazon,2024-12-03,Speculative,United States of America,3
Fugatto 1,NVIDIA,2024-11-25,Confident,United States of America,5
GPT-4o (Nov 2024),OpenAI,2024-11-20,Speculative,United States of America,3
Suno v4,Suno,2024-11-19,Unknown,United States of America,0
Pixtral Large,Mistral AI,2024-11-18,Confident,France,5
k0-math,Moonshot,2024-11-16,Unknown,China,0
Gemini-Exp-1114,Google DeepMind,2024-11-15,Unknown,United States of America,0
SeedEdit,ByteDance,2024-11-11,Unknown,China,0
Hunyuan-Large,Tencent,2024-11-06,Confident,China,5
Doubao-pro,ByteDance,2024-10-28,Likely,China,4
NVLM-X 72B,NVIDIA,2024-10-22,Likely,United States of America,4
NVLM-H 72B,NVIDIA,2024-10-22,Likely,United States of America,4
NVLM-D 72B,NVIDIA,2024-10-22,Confident,United States of America,5
Yi-Lightning,01.AI,2024-10-18,Confident,China,5
CHAI-1,Chai discovery,2024-10-15,Confident,United States of America,5
RDT-1B,Tsinghua University,2024-10-10,Likely,China,4
Palmyra X 004,Writer,2024-10-09,Unspecified,United States of America,0
GR-2,ByteDance,2024-10-08,Confident,China,5
Movie Gen Video,Meta AI,2024-10-04,Confident,United States of America,5
PixelDance,ByteDance,2024-09-24,Unknown,China,0
Llama 3.2 11B,Meta AI,2024-09-24,Confident,United States of America,5
Telechat2-115B,China Telecom,2024-09-20,Confident,China,5
Qwen2.5-72B,Alibaba,2024-09-19,Confident,China,5
Qwen2.5 Instruct (72B),Alibaba,2024-09-19,Confident,China,5
Oryx 34B,"Tsinghua University,Tencent,Nanyang Technological University",2024-09-19,Confident,Group of Countries,5
Qwen2.5-32B,Alibaba,2024-09-17,Confident,China,5
o1-preview,OpenAI,2024-09-12,Unknown,United States of America,0
o1-mini,OpenAI,2024-09-12,Unknown,United States of America,0
DeepSeek-V2.5,DeepSeek,2024-09-06,Confident,China,5
Hunyuan Turbo,Tencent,2024-09-05,Unknown,China,0
Harrison.rad.1,Harrison.ai,2024-09-05,Unknown,Australia,0
AlphaProteo,Google DeepMind,2024-09-05,Unknown,United States of America,0
Hairuo,Inspur,2024-08-29,Unknown,China,0
GLM-4-Plus,Z.ai (Zhipu AI),2024-08-29,Speculative,China,3
Jamba 1.5-Large,AI21 Labs,2024-08-22,Confident,Israel,5
Grok-2,xAI,2024-08-13,Confident,United States of America,5
Table Tennis Agent,Google DeepMind,2024-08-07,Likely,United States of America,4
LLaVA-OV-72B,"ByteDance,Nanyang Technological University,Chinese University of Hong Kong (CUHK),Hong Kong University of Science and Technology (HKUST)",2024-08-06,Confident,Group of Countries,5
GPT-4o (Aug 2024),OpenAI,2024-08-06,Speculative,United States of America,3
AFM-server,Apple,2024-07-29,Likely,United States of America,4
AFM-on-device,Apple,2024-07-29,Confident,United States of America,5
Mistral Large 2,Mistral AI,2024-07-24,Likely,France,4
Llama 3.1-405B,Meta AI,2024-07-23,Confident,United States of America,5
GPT-4o mini,OpenAI,2024-07-18,Speculative,United States of America,3
Mathstral,Mistral AI,2024-07-16,Confident,France,5
DeepL LLM,DeepL,2024-07-16,Unknown,Germany,0
SenseChat 5.5,SenseTime,2024-07-06,Confident,Hong Kong,5
Ernie 4.0 Turbo,Baidu,2024-06-28,Unknown,China,0
ESM3 (98B),"EvolutionaryScale,University of California (UC) Berkeley",2024-06-25,Confident,Group of Countries,5
Cambrian-1-34B,New York University (NYU),2024-06-24,Confident,United States of America,5
Claude 3.5 Sonnet,Anthropic,2024-06-20,Speculative,United States of America,3
DeepSeek-Coder-V2 236B,DeepSeek,2024-06-17,Confident,China,5
Nemotron-4 340B,NVIDIA,2024-06-14,Confident,United States of America,5
OpenVLA,"Stanford University,University of California (UC) Berkeley,Toyota Research Institute,Google DeepMind,Massachusetts Institute of Technology (MIT),Physical Intelligence",2024-06-13,Confident,Group of Countries,5
Llama-3.1-Nemotron-70B-Instruct,"NVIDIA,Meta AI",2024-06-12,Confident,Group of Countries,5
Qwen2-72B,Alibaba,2024-06-07,Confident,China,5
ALLaM adapted 70B,Saudi Data and Artificial Intelligence Authority,2024-05-21,Confident,Saudi Arabia,5
Octo-Base,"University of California (UC) Berkeley,Stanford University,Carnegie Mellon University (CMU),DeepMind",2024-05-20,Confident,Group of Countries,5
GLM-4 (0520),Z.ai (Zhipu AI),2024-05-20,Likely,China,4
Yi-Large,01.AI,2024-05-13,Speculative,China,3
GPT-4o,OpenAI,2024-05-13,Speculative,United States of America,3
AlphaFold 3,"Google DeepMind,Isomorphic Labs",2024-05-08,Confident,Group of Countries,5
VILA1.5-13B,"NVIDIA,Massachusetts Institute of Technology (MIT)",2024-05-03,Confident,Group of Countries,5
GenCast,Google DeepMind,2024-05-01,Confident,United States of America,5
Llama 3-70B,Meta AI,2024-04-18,Confident,United States of America,5
Reka Core,Reka AI,2024-04-15,Speculative,United States of America,3
GPT-4 Turbo (Apr 2024),OpenAI,2024-04-09,Unknown,United States of America,0
ReALM,Apple,2024-03-29,Confident,United States of America,5
DBRX,Databricks,2024-03-27,Confident,United States of America,5
MM1-30B,Apple,2024-03-14,Likely,United States of America,4
ManiGaussian,"Tsinghua University,Nanyang Technological University,Carnegie Mellon University (CMU)",2024-03-13,Confident,Group of Countries,5
Inflection-2.5,Inflection AI,2024-03-07,Likely,United States of America,4
Claude 3 Sonnet,Anthropic,2024-03-04,Unknown,United States of America,0
Claude 3 Opus,Anthropic,2024-03-04,Speculative,United States of America,3
Aramco Metabrain AI,Saudi Aramco,2024-03-04,Likely,Saudi Arabia,4
Mistral Large,Mistral AI,2024-02-26,Likely,France,4
MegaScale (Production),"ByteDance,Peking University",2024-02-23,Speculative,Group of Countries,3
Stable Diffusion 3,Stability AI,2024-02-22,Confident,United Kingdom of Great Britain and Northern Ireland,5
Sora,OpenAI,2024-02-15,Unknown,United States of America,0
Gemini 1.5 Pro,Google DeepMind,2024-02-15,Speculative,United States of America,3
Aya,"Cohere for AI,Brown University,Cohere,Carnegie Mellon University (CMU),Massachusetts Institute of Technology (MIT)",2024-02-12,Speculative,Group of Countries,3
Qwen1.5-72B,Alibaba,2024-02-04,Confident,China,5
Qwen-VL-Max,Alibaba,2024-01-25,Confident,China,5
AlphaGeometry,"Google DeepMind,New York University (NYU)",2024-01-17,Confident,Group of Countries,5
Palmyra X 003,Writer,2024-01-01,Unspecified,United States of America,0
Kimi Explorer,Moonshot,2024-01-01,Unknown,China,0
CoRe,Tsinghua University,2023-12-29,Speculative,China,3
GQA-8-XXL,Google Research,2023-12-23,Confident,United States of America,5
nekomata-14b,rinna,2023-12-21,Confident,Japan,5
Gemini Nano-2,Google DeepMind,2023-12-19,Confident,United States of America,5
Gemini Nano-1,Google DeepMind,2023-12-19,Confident,United States of America,5
FunSearch,Google DeepMind,2023-12-14,Speculative,United States of America,3
CogAgent,"Tsinghua University,Z.ai (Zhipu AI)",2023-12-14,Likely,Group of Countries,4
VILA-13B,"NVIDIA,Massachusetts Institute of Technology (MIT)",2023-12-12,Confident,Group of Countries,5
W.A.L.T,"Stanford University,Google Research,Georgia Institute of Technology",2023-12-11,Confident,Group of Countries,5
Mixtral 8x7B,Mistral AI,2023-12-11,Speculative,France,3
SeamlessM4T,"Facebook,INRIA,University of California (UC) Berkeley",2023-12-08,Confident,Group of Countries,5
Llama Guard,Meta AI,2023-12-07,Confident,United States of America,5
Gemini 1.0 Ultra,Google DeepMind,2023-12-06,Speculative,United States of America,3
Gemini 1.0 Pro,Google DeepMind,2023-12-06,Speculative,United States of America,3
Mamba-24M (SC09),"Carnegie Mellon University (CMU),Princeton University",2023-12-01,Confident,Group of Countries,5
Qwen-72B,Alibaba,2023-11-30,Confident,China,5
PPLX-70B-Online,Perplexity,2023-11-29,Likely,United States of America,4
GNoME for crystal discovery,Google DeepMind,2023-11-29,Likely,United States of America,4
Inflection-2,Inflection AI,2023-11-22,Confident,United States of America,5
Claude 2.1,Anthropic,2023-11-21,Unknown,United States of America,0
AndesGPT,Oppo Mobile Telecommunications,2023-11-16,Unknown,China,0
Nemotron-3-8B,NVIDIA,2023-11-15,Confident,United States of America,5
Qwen-Audio-Chat,Alibaba,2023-11-14,Likely,China,4
GraphCast,Google DeepMind,2023-11-14,Speculative,United States of America,3
Volcano 13B,"Korea University,Korea Advanced Institute of Science and Technology (KAIST),LG",2023-11-13,Likely,Group of Countries,4
SPHINX (Llama 2 13B),"Shanghai AI Lab,Chinese University of Hong Kong (CUHK),ShanghaiTech University",2023-11-13,Likely,Group of Countries,4
RoFormer,Zhuiyi Technology,2023-11-08,Confident,China,5
MultiBand Diffusion,"Meta AI,Hebrew University of Jerusalem,LORIA",2023-11-08,Confident,Group of Countries,5
OmniVec,TensorTour,2023-11-07,Unknown,United States of America,0
mPLUG-Owl2,Alibaba,2023-11-07,Speculative,China,3
GPT-4 Turbo (Nov 2023),OpenAI,2023-11-06,Unknown,United States of America,0
CogVLM-17B,"Tsinghua University,Z.ai (Zhipu AI),Beihang University",2023-11-06,Confident,Group of Countries,5
LLaVA 1.5,"University of Wisconsin Madison,Microsoft Research",2023-11-05,Confident,Group of Countries,5
Grok-1,xAI,2023-11-04,Likely,United States of America,4
RT-Trajectory,"Google DeepMind,University of California San Diego,Stanford University",2023-11-03,Unknown,Group of Countries,0
BLUUMI,"University of Turku,Hugging Face",2023-11-03,Likely,Group of Countries,4
Yi-34B,01.AI,2023-11-02,Confident,China,5
Cohere Embed,Cohere,2023-11-02,Unknown,Canada,0
Skywork-13B,Kunlun Inc.,2023-10-30,Confident,China,5
ChatGLM3-6B,Z.ai (Zhipu AI),2023-10-27,Speculative,China,3
DiT-XL/2 + CADS,"ETH Zurich,Disney Research",2023-10-26,Likely,Group of Countries,4
CODEFUSION (Python),"Microsoft,Microsoft Research",2023-10-26,Confident,Group of Countries,5
DALL·E 3,OpenAI,2023-10-19,Unknown,United States of America,0
PaLI-3,"Google DeepMind,Google Research,Google Cloud",2023-10-17,Confident,Group of Countries,5
ERNIE 4.0,Baidu,2023-10-17,Unknown,China,0
RT-2-X,Google DeepMind,2023-10-13,Confident,United States of America,5
Ferret (13B),"Columbia University,Apple",2023-10-11,Confident,Group of Countries,5
RoseTTAFold All-Atom (RFAA),"University of Washington,Seoul National University,University of Sheffield",2023-10-09,Confident,Group of Countries,5
FinGPT-13B,"University of California Los Angeles (UCLA),Columbia University,New York University (NYU)",2023-10-07,Likely,Group of Countries,4
CTM (CIFAR-10),"Stanford University,Sony",2023-10-01,Unknown,Group of Countries,0
GPT-3.5 Turbo Instruct,OpenAI,2023-09-28,Likely,United States of America,4
Amazon Titan,Amazon,2023-09-28,Likely,United States of America,4
Show-1,National University of Singapore,2023-09-27,Unknown,Singapore,0
GPT-4V,OpenAI,2023-09-25,Unknown,United States of America,0
AlphaMissense,Google DeepMind,2023-09-22,Likely,United States of America,4
Robot Parkour,"Shanghai Qi Zhi institute,Stanford University,Carnegie Mellon University (CMU),Tsinghua University",2023-09-12,Confident,Group of Countries,5
Falcon-180B,Technology Innovation Institute,2023-09-06,Confident,United Arab Emirates,5
Swift,Intel Labs,2023-08-30,Likely,United States of America,4
Jais,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception G42",2023-08-29,Confident,Group of Countries,5
PeptideBERT,Carnegie Mellon University (CMU),2023-08-28,Confident,United States of America,5
Qwen-VL,Alibaba,2023-08-24,Likely,China,4
GGNN,"Westlake University,Tsinghua University,Toyota Technological Institute at Chicago",2023-08-05,Confident,Group of Countries,5
RT-2,Google DeepMind,2023-07-28,Confident,United States of America,5
AudioLM,Google Research,2023-07-26,Speculative,United States of America,3
Llama 2-70B,Meta AI,2023-07-18,Confident,United States of America,5
Llama 2-7B,Meta AI,2023-07-18,Confident,United States of America,5
GPT3-2.7B (FlashAttention-2),"Stanford University,Princeton University",2023-07-18,Confident,Group of Countries,5
Claude 2,Anthropic,2023-07-11,Speculative,United States of America,3
xTrimoPGLM -100B,"Tsinghua University,BioMap Research",2023-07-06,Confident,Group of Countries,5
InternLM,"Shanghai AI Lab,SenseTime",2023-07-06,Confident,Group of Countries,5
Pangu-Weather,Huawei,2023-07-05,Confident,China,5
Stable Diffusion XL (SDXL),Stability AI,2023-07-04,Speculative,United Kingdom of Great Britain and Northern Ireland,3
HyenaDNA,"Stanford University,Harvard University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal",2023-06-27,Confident,Group of Countries,5
ERNIE 3.5,Baidu,2023-06-27,Unknown,China,0
GPT-3.5 Turbo,OpenAI,2023-06-13,Likely,United States of America,4
MusicGen,Meta AI,2023-06-08,Likely,United States of America,4
LTM-1,Magic,2023-06-06,Unknown,United States of America,0
PaLI-X,Google Research,2023-05-29,Likely,United States of America,4
DPO on Pythia-2.8B,"Stanford University,CZ Biohub Network",2023-05-29,Confident,Group of Countries,5
Goat-7B,National University of Singapore,2023-05-23,Speculative,Singapore,3
CodeT5+,Salesforce,2023-05-20,Confident,United States of America,5
ONE-PEACE,"Alibaba,Huazhong University of Science and Technology",2023-05-18,Speculative,Group of Countries,3
CoEdiT-xxl,"University of Minnesota,Grammarly",2023-05-17,Likely,Group of Countries,4
Med-PaLM 2,"Google Research,DeepMind",2023-05-16,Likely,Group of Countries,4
InstructBLIP,"Salesforce Research,Hong Kong University of Science and Technology (HKUST),Nanyang Technological University",2023-05-11,Confident,Group of Countries,5
PaLM 2,Google,2023-05-10,Likely,United States of America,4
StarCoder,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",2023-05-09,Confident,Group of Countries,5
ImageBind,Meta AI,2023-05-09,Likely,United States of America,4
Agile Soccer Robot,Google DeepMind,2023-04-26,Unknown,United States of America,0
LLaVA,"University of Wisconsin Madison,Microsoft Research,Columbia University",2023-04-17,Confident,Group of Countries,5
DINOv2,"Facebook AI Research,INRIA",2023-04-14,Confident,Group of Countries,5
Incoder-6.7B,"Facebook AI Research,University of Washington,University of California (UC) Berkeley,Carnegie Mellon University (CMU),Toyota Technological Institute at Chicago",2023-04-09,Confident,Group of Countries,5
Segment Anything Model,Meta AI,2023-04-05,Confident,United States of America,5
BloombergGPT,"Bloomberg,Johns Hopkins University",2023-03-30,Confident,Group of Countries,5
VideoMAE V2,"Nanjing University,Shenzhen Institute of Advanced Technology,Shanghai AI Lab",2023-03-29,Confident,Group of Countries,5
SigLIP 400M,Google DeepMind,2023-03-27,Confident,United States of America,5
Firefly,Adobe,2023-03-21,Unknown,United States of America,0
PanGu-Σ,Huawei Noah's Ark Lab,2023-03-20,Confident,China,5
Gen-2,Runway,2023-03-20,Unknown,United States of America,0
LEP-AD,"King Abdullah University of Science and Technology (KAUST),Karolinska Institute",2023-03-15,Confident,Group of Countries,5
GPT-4 (Mar 2023),OpenAI,2023-03-15,Likely,United States of America,4
GPT-4 (Jun 2023),OpenAI,2023-03-15,Likely,United States of America,4
Falcon-40B,Technology Innovation Institute,2023-03-15,Confident,United Arab Emirates,5
Claude,Anthropic,2023-03-14,Unknown,United States of America,0
PaLM-E,"Google,TU Berlin",2023-03-06,Likely,Group of Countries,4
AudioGen,"Meta AI,Hebrew University of Jerusalem",2023-03-05,Likely,Group of Countries,4
DiT-XL/2,"New York University (NYU),University of California (UC) Berkeley",2023-03-02,Confident,Group of Countries,5
LLaMA-65B,Meta AI,2023-02-24,Confident,United States of America,5
BASIC-L + Lion,"Google,University of California Los Angeles (UCLA)",2023-02-13,Confident,Group of Countries,5
ViT-22B,Google,2023-02-10,Confident,United States of America,5
ProteinDT,"University of California (UC) Berkeley,California Institute of Technology,University of Toronto,University of Wisconsin Madison,Texas A&M,NVIDIA,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",2023-02-09,Likely,Group of Countries,4
Gen-1,Runway,2023-02-06,Unknown,United States of America,0
BLIP-2 (Q-Former),Salesforce Research,2023-01-30,Confident,United States of America,5
DDPM-IP (CelebA),Utrecht University,2023-01-27,Likely,Netherlands,4
MusicLM,Google,2023-01-26,Confident,United States of America,5
Ankh_large,"Technical University of Munich,Columbia University",2023-01-16,Confident,Group of Countries,5
Nucleotide Transformer,"NVIDIA,Technical University of Munich,InstaDeep",2023-01-15,Likely,Group of Countries,4
DreamerV3,"DeepMind,University of Toronto",2023-01-10,Likely,Group of Countries,4
VALL-E,Microsoft,2023-01-05,Speculative,United States of America,3
Hybrid H3-2.7B,"Stanford University,University at Buffalo",2022-12-28,Likely,Group of Countries,4
CaLM,University of Oxford,2022-12-19,Likely,United Kingdom of Great Britain and Northern Ireland,4
RT-1,Google,2022-12-13,Confident,United States of America,5
TranceptEve,"University of Oxford,Harvard Medical School",2022-12-10,Unknown,Group of Countries,0
Vega v2,"Wuhan University,JD Explore Academy,Shanghai AI Lab,Nanyang Technological University,Washington University in St Louis,Chongqing University of Posts and Telecommunications,University of Sydney",2022-12-04,Confident,Group of Countries,5
DeepNash,DeepMind,2022-12-01,Unknown,United Kingdom of Great Britain and Northern Ireland,0
